l,b,Angle from l=0,Angle from MW plane,Distance,"Dist MW or M31, nearest",Orbit Pericenter,Orbit Apocenter,Orbit Eccentricity,Orbit Period,Angular Radius,Radius [pc],V band Magnitude M$_{V}$,Distance to LG surf,Estimated Dynamical Mass,Stellar Velocity Dispersion $\sigma_{star}$,"Stellar Rotation Velocity $V_{rot,star}$",HI Velocity Dispersion $\sigma_{gas}$,"HI Rotation Velocity $V_{rot,gas}$",W50,Surface Brightness $\mu_{V}$,Heliocentric Velocity $v_{helio}$,Star Formation Timescale $\tau_{90}$,Mean Metallicity $\langle $[Fe/H]$\rangle $,Galactocentric Velocity $V_{GSR}$,Local Std of Rest Velocity $V_{LSR}$,Local Group Std of Rest Velocity $V_{LGSR}$,HI Mass $M_{HI}$ (Detected or Limit),3D Position (X),3D Position (Y),3D Position (Z)
69.85226656570086,-41.81334282008921,69.85226656570086,41.81334282008921,205116.21788255626,203.182818903582,,,,,1.3,,-4.059999999999999,-131.36862218957373,,,,,,,,-223.0,,,-63.02309294890938,-216.95991111630292,-27.616491765242625,3109.678354410729,186.6814607725776,-82.74857603929075,19.374421429570006
354.39906171862907,-37.391673029005496,5.6009382813709285,37.391673029005496,213796.20895022328,207.4336584930028,,,,,2.9,,-4.25,-25.300319936437504,,,,,,,,,,,,,,6148.750326699301,95.18076753270996,-114.56439545633344,-153.3767901186375
74.30574797127419,79.82286396200935,74.30574797127419,79.82286396200935,217770.97723531595,217.53411988559924,,,,,8.9,,-8.590000000000002,-14.798888599180415,,,,,,,27.1,30.9,,,77.68431842803466,40.26128264358011,47.07584633023284,5137.783255119092,-168.2470120721105,-68.02602423546527,120.372760546344
220.16914557991348,67.23124335128563,139.8308544200865,67.23124335128563,233000.0,235.87540400002467,41.0,238.0,0.73,,2.6,171.0,-9.84,5.820328499724409,,,,,,,24.2,78.3,6456542290.346561,-1.63,24.176163703175092,79.09722587358002,0.2533820448135771,4454.691864625201,-211.37158307752145,43.50370449669792,87.85488923427326
225.98574588608454,49.112367539364364,134.01425411391546,49.112367539364364,254000.0,257.3086526372519,45.0,590.0,0.87,,3.4,270.0,-12.02,27.293614889201933,,,,,,,22.6,282.9,1698243652.461746,-1.45,174.88439616828262,278.4495313769819,157.79370227551192,10231.721472,-219.35302151837556,116.05772229835794,54.13739045868679
225.98574588608454,49.112367539364364,134.01425411391546,49.112367539364364,783429.642766212,,,,,,,,,,,,,,,,,-300.0,,,-408.0156038317173,-304.45046862301814,-425.10629772448806,,-219.35302151837556,116.05772229835794,54.13739045868679
225.98574588608454,49.112367539364364,134.01425411391546,49.112367539364364,805378.4411990676,26.961926816295282,44.0,77.0,0.27,,0.47,,-16.43,-267.253228062056,,,55.0,,,,11.1,-199.0,1698243652.461746,,-307.0156038317173,-203.4504686230181,-324.10629772448806,176702.82413085183,-219.35302151837556,116.05772229835794,54.13739045868679
225.98574588608454,49.112367539364364,134.01425411391546,49.112367539364364,765596.6069112569,38.65798187641238,118.0,186.0,0.23,,2.5,,-8.120000000000001,-246.20810994914623,,,,,,,28.0,-209.4,5100000000.0,-1.93,-317.41560383171736,-213.85046862301812,-334.50629772448815,55334.624288081366,-219.35302151837556,116.05772229835794,54.13739045868679
225.98574588608454,49.112367539364364,134.01425411391546,49.112367539364364,824138.1150130013,45.93399627614517,57.0,87.0,0.21,,2.46,,-16.479999999999997,-259.61012575611267,,,11.0,16.1,,,19.2,-246.0,2187761623.949552,-0.92,-354.0156038317173,-250.4504686230181,-371.10629772448806,400000.0,-219.35302151837556,116.05772229835794,54.13739045868679
225.98574588608454,49.112367539364364,134.01425411391546,49.112367539364364,744731.9739059889,55.41448211268954,59.0,90.0,0.21,,3.1,,-11.86,-243.80612875111171,,,,,,,24.7,-376.3,7400000000.0,-1.33,-484.3156038317172,-380.7504686230181,-501.40629772448807,75490.19896782096,-219.35302151837556,116.05772229835794,54.13739045868679
